,time,1604,1656,1834,3626,4680,5990,9529,10772,11437,13544,15669,16193,17687,17704,18360,18653,19010,19445,19446,21527,23080,23552,24299,25831,26493,26754,27472,31042,32005,32432,33441,33486,34088,34116,34595,37170,41152,41399,41496,41650,45474,47100,47993,49599,49705,53727,54295,57157,57235,57666,58240,58255,59338,60908,63446,63936,64630,64888,65166,66839,69560,70151,71035,72640,74688,74861,75948,76243,76423,76908,77908,80327,81230,81512,81682,82064,83208,83834,83843,84752,85853,86683,86756,87524,88072,92599,95183,97302,97566,98996,99260,99481,100198,101779,102005,103401,105654,105940,106254
0,2022-03-04,,,,0.0,0.05,,,,,0.55,0.94,,,,,,,,,,0.54,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.12,,0.32,,,,,,,,,,,,,,,0.0,,,,
1,2022-03-09,,,,0.0,0.0,,,,,0.42,0.89,,,,,,,,,,0.39,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.0,,,,,,,0.0,,0.08,,,,,,,,,,,,,,0.55,0.0,,,,
2,2022-03-11,0.0,0.0,0.06,,,0.08,0.03,0.17,0.0,,,0.06,0.12,0.0,0.0,,0.0,0.0,0.0,0.04,,0.0,,0.02,0.0,0.52,0.34,0.34,0.07,0.17,0.0,0.43,0.0,0.22,0.21,,0.03,0.0,0.03,0.17,0.04,,0.07,0.0,0.09,0.0,0.0,0.14,0.28,0.05,0.03,0.08,0.23,,0.21,0.03,0.0,0.0,0.2,0.0,0.0,0.0,0.6,,0.08,0.2,0.0,0.24,0.03,0.26,,,0.0,0.09,,0.0,0.0,,0.0,,0.05,0.0,0.0,,0.02,0.0,0.2,0.0,0.13,0.0,0.0,0.25,0.17,,,0.0,0.55,0.0,0.12
3,2022-03-14,,,,,0.0,,,,,,,,,,,,,,,,0.34,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,0.25,0.0,,,,
4,2022-03-19,,,,0.29,0.05,,,,,0.41,0.41,,,,,,,,,,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,0.0,,,,,,,0.09,,0.27,,,,,,,,,,,,,,0.0,,,,,
5,2022-03-21,0.0,0.0,0.04,,,0.1,0.01,0.13,0.0,,,,0.04,0.0,,0.0,0.0,0.0,0.0,0.03,,0.0,0.0,0.0,0.0,0.62,0.25,0.41,0.03,0.38,0.0,0.27,0.0,,0.21,,0.03,0.03,0.01,0.13,0.09,0.15,0.08,0.0,0.12,0.0,0.0,,0.26,0.18,0.07,0.08,0.24,0.57,0.21,0.03,0.0,0.0,0.23,0.0,0.0,0.0,0.07,,,0.16,0.0,0.26,0.0,0.0,,0.05,0.0,0.1,0.0,0.03,0.02,,0.0,,0.09,0.0,0.0,0.17,0.0,0.0,0.22,0.1,0.0,0.0,0.0,0.25,,,,0.0,0.45,0.0,0.0
6,2022-03-24,,,,0.0,0.0,,,,,0.0,0.46,,,,,,,,,,0.41,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,,,,,,0.0,0.0,,,,
7,2022-03-26,0.0,0.0,0.01,,,0.1,0.0,0.01,0.0,,,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.52,0.0,0.43,0.0,0.29,0.0,0.13,0.0,0.13,0.09,,0.0,0.0,0.0,0.08,,0.12,0.06,0.0,0.13,0.0,0.0,0.08,0.26,0.08,0.09,0.0,0.26,,0.18,0.01,0.0,0.0,0.23,0.0,0.0,0.0,0.05,,0.05,0.03,0.0,0.08,0.0,0.0,,0.0,0.0,0.09,0.0,0.0,0.0,,0.0,,0.07,,,0.18,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.2,0.0,,,0.0,,0.0,0.0
8,2022-04-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2022-04-13,,,,0.19,0.37,,,,,0.16,0.4,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43,,,,,,,0.59,,,,,,,0.24,,0.42,,,,,,,,,,,,,,0.5,0.02,,,,
10,2022-04-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,
11,2022-04-20,,0.0,0.17,,,0.82,0.0,0.77,,,,,,,0.0,,0.07,,,1.18,,1.12,,,,,0.41,,0.05,,,0.17,,,,,,,,,0.07,0.93,,,0.14,,,,,,,,0.94,,,,,,0.94,1.43,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,,0.13,,,,,,0.0,0.18,0.03,0.0,0.17,,,,,,,
12,2022-04-25,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,7.0,,,,,,,,,,,,,,0.08,,,,,,,,,,,,1.0,,,,,,0.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2022-04-28,,,,0.87,,,,,,0.69,1.11,,,,,,,,,,0.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,0.54,,,,,,,,,,,,,,,,0.73,0.22,,,,
14,2022-04-30,0.0,0.0,0.06,,,0.38,0.13,0.37,0.0,,,0.06,0.16,0.05,0.0,0.04,0.0,0.0,0.17,0.12,,0.13,0.0,0.14,0.04,0.85,0.04,3.94,0.24,0.62,,0.25,0.0,0.42,0.54,,0.2,0.17,0.08,0.13,0.06,0.03,0.0,,0.16,0.0,,0.18,2.72,0.35,0.15,,1.2,0.06,0.11,,0.0,0.0,0.82,0.0,0.03,0.08,0.0,,0.22,0.19,0.0,0.43,0.0,0.0,,0.21,0.0,0.47,0.0,0.1,0.13,,0.0,,0.03,0.14,0.13,0.68,0.0,0.0,0.95,0.34,0.0,0.02,0.0,0.08,0.0,,,0.0,0.29,0.0,0.02
15,2022-05-03,,,,0.33,0.15,,,,,0.0,0.21,,,,,,,,,,0.06,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,,,,,,,0.09,,,,,,,0.02,,1.2,,,,,,,,,,,,,,0.0,0.0,,,,
16,2022-05-05,0.3,0.0,0.0,,,0.54,0.0,0.0,,,,0.0,,0.0,,0.47,0.34,,,0.15,,0.16,,,0.2,,,6.65,,,0.21,0.09,,0.44,0.47,,0.39,,,,,,,,0.12,0.0,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,0.02,0.11,,,,,,,0.0,0.0,0.0,0.71,0.25,,0.0,,,,,,,,,,,0.0,0.8,,0.0,,,,,0.0,
17,2022-05-10,0.01,0.0,0.0,,,0.96,0.08,0.16,0.0,,,0.16,,,0.0,0.0,0.0,0.0,0.16,0.23,,0.16,0.05,0.14,0.01,0.97,0.01,,0.25,0.62,0.0,0.19,0.0,0.46,0.46,,0.25,0.07,0.15,0.3,0.03,0.62,0.0,0.13,0.32,0.0,0.0,0.07,,0.24,0.2,0.0,1.26,,0.19,0.02,0.0,0.0,0.66,1.1,0.04,0.08,0.0,,0.05,0.22,0.05,0.35,0.0,0.0,,0.0,0.0,0.65,0.0,0.25,0.13,,0.0,,0.01,0.07,0.0,0.9,0.0,0.0,1.09,0.34,0.03,0.0,0.0,0.12,0.03,,,0.01,0.31,0.0,0.0
18,2022-05-15,,0.0,0.0,,,0.85,0.05,0.07,0.0,,,0.01,0.12,0.04,0.0,0.0,0.0,0.0,0.17,0.23,,0.15,0.33,0.12,0.04,0.97,0.0,0.0,0.26,0.62,0.0,0.17,0.0,0.61,0.58,,0.27,0.01,0.29,0.07,0.08,0.3,0.0,0.17,0.22,0.0,0.0,0.1,0.0,,0.13,0.0,1.55,0.14,0.16,0.0,0.0,0.0,1.24,,0.08,0.04,0.0,,0.12,0.22,0.0,0.39,0.0,0.0,,0.07,,0.62,0.0,0.13,0.15,,0.0,,0.0,0.08,0.03,0.84,0.0,0.0,1.19,0.38,,0.0,,0.18,0.0,,,0.08,0.29,0.0,0.0
19,2022-05-18,,,,,0.34,,,,,,0.26,,,,,,,,,,0.05,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,,,,,,,0.44,,,,,,,0.33,,0.95,,,,,,,,,,,,,,0.15,0.0,,,,
20,2022-05-20,0.0,0.0,0.0,,,1.15,0.13,0.21,0.0,,,0.06,0.2,0.2,0.0,0.0,0.0,0.0,0.24,0.23,,0.3,0.06,0.16,0.09,1.1,0.11,0.0,0.39,,0.0,0.21,0.0,1.04,1.1,,0.34,0.06,0.35,0.15,0.21,0.01,0.09,0.18,,,0.0,0.25,,0.31,0.16,0.06,1.64,0.13,0.33,0.04,0.1,0.04,0.15,0.07,0.19,,0.0,,0.26,0.26,0.0,0.52,0.0,0.0,,0.24,0.54,0.73,0.0,0.09,,,0.0,,0.04,0.27,0.2,0.64,0.0,0.0,,0.38,0.0,,0.0,0.18,0.09,,,0.29,0.28,0.0,0.1
21,2022-05-25,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2022-05-28,,,,0.27,1.2,,,,,0.0,0.7,,,,,,,,,,1.9,,,,,,,,,,,,,,,0.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,
23,2022-05-30,0.0,,0.0,,,,,,0.0,,,0.0,0.07,0.0,,0.0,0.08,0.0,0.03,,,,,,0.28,0.85,0.11,,,0.24,0.21,0.0,0.0,0.72,0.26,,0.42,0.0,,0.09,0.0,,0.0,,,0.0,0.0,,,,,,,,0.07,0.0,,,,,0.0,,0.0,,,,0.0,,,,,0.0,0.0,,0.0,0.29,,,0.0,,,0.0,0.99,0.78,0.12,0.0,2.06,,0.0,0.0,,,,,,0.9,,0.0,
24,2022-06-02,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,
25,2022-06-04,0.15,0.6,,,,1.64,0.02,0.14,0.0,,,0.02,0.2,0.32,,,,,0.0,,,0.0,0.15,0.16,,1.17,0.16,0.72,0.15,0.39,0.34,,,0.47,0.43,,0.52,0.0,,0.34,0.19,0.51,,0.53,,0.0,0.0,0.0,,,,0.0,2.23,1.7,0.14,0.16,0.0,1.23,0.0,1.81,0.0,0.09,0.18,,0.36,0.21,0.35,0.56,,,,,0.0,,,,,,0.0,,,0.0,0.73,0.88,,0.18,1.84,,,,0.0,1.49,0.0,,,,0.22,1.06,
26,2022-06-12,,,,2.08,1.76,,,,,0.41,2.43,,,,,,,,,,1.46,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,,,,,,,1.12,,,,,,,1.36,,,,,,,,,,,,,,,,,0.4,,,,
27,2022-06-14,,,,,,1.63,,,,,,,,,0.96,,,,,1.31,,0.76,1.3,,,,,,1.55,,,,,,,,,,,,,1.64,,,,,,,,,,0.36,,1.62,,,0.36,,1.39,2.7,,,,,1.04,,,,,,,,,1.37,,,0.53,,0.82,,,0.81,,,,,3.67,,,,0.4,0.86,,,,,1.15,1.29,
28,2022-06-17,,,,2.37,2.12,,,,,0.39,2.81,,,,,,,,,,2.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,2.52,,2.57,,,,,,,,,,,,,,,,,,,
29,2022-06-19,1.47,1.87,1.74,,,2.22,1.02,,0.0,,,0.63,0.95,1.57,0.0,1.55,0.71,0.9,0.82,1.79,,0.8,1.92,2.07,3.03,1.81,2.06,4.72,1.2,1.59,2.19,1.28,1.21,1.76,1.72,,1.17,1.39,1.18,2.09,1.17,1.74,1.59,1.06,1.89,0.86,0.36,0.43,0.12,0.83,1.53,0.56,1.14,2.9,0.61,2.01,0.14,1.08,0.15,3.32,0.66,1.02,1.95,,1.92,0.71,0.0,1.9,0.44,0.45,,1.03,0.75,1.1,1.72,2.55,0.39,,1.15,,0.46,0.75,0.77,2.13,2.27,,2.08,0.8,1.1,1.35,0.31,0.33,0.41,,,4.4,1.28,,0.29
30,2022-06-24,,,,,,,,,,,,,,,,,,2.99,,,,,3.05,4.7,,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,2022-06-27,,,,5.07,3.83,,,,,2.41,6.01,,,,,,,,,,5.58,,,,,,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.19,,,,,,,3.96,,,,,,,,,4.57,,,,,,,,,,,,,,3.27,2.7,,,,
32,2022-07-02,,,,7.0,3.86,,,,,3.41,7.0,,,,,,,,,,6.87,,,,,,,,,,,,,,,5.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.01,,,,,,,5.08,,,,,,,3.13,,6.14,,,,,,,,,,,,,,4.35,3.85,,,,
33,2022-07-04,,,,,,,,,,,,,2.87,,1.01,,,1.19,3.67,,,,,,,,,,,,,,,,,,,,,3.7,,,,,,,,4.01,2.64,,,,,,,,,,,,,4.39,,,,,1.72,,,,,,3.27,,,,1.72,,,,,,1.4,,,,,,,,,,,,,,,,
34,2022-07-09,3.88,,,,,,,,1.93,,,,2.52,,,3.85,,,,,,,6.82,,,,,,,5.07,7.0,,,,,,,4.94,,,,6.47,,1.14,,,2.6,1.62,3.11,,,,,7.0,,,,,1.21,7.0,,5.74,,,,5.25,,3.91,,,,3.43,,,,,,,,,,5.07,5.25,,5.67,6.65,3.0,,,,,,,,,,2.97,,4.9
35,2022-07-12,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.1,,,,
36,2022-07-14,4.03,,4.64,,,,0.53,7.0,1.41,,,1.52,,2.13,1.22,3.08,,,5.43,,,1.84,,6.82,3.81,1.47,6.47,,1.65,4.72,,6.12,4.55,2.83,2.58,,0.82,5.3,0.3,6.65,3.43,,6.3,1.35,5.95,1.44,1.41,3.96,5.1,,,2.37,,,2.52,5.15,2.52,2.47,,,2.59,2.41,3.67,,5.58,1.31,3.85,3.37,,4.62,,4.03,2.91,2.3,5.25,3.33,2.79,,,,2.58,4.47,6.47,1.17,2.45,3.33,1.94,1.8,6.47,,2.34,,2.01,,,7.0,4.07,,3.47
37,2022-07-17,,,,6.47,,,,,,6.3,3.85,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,5.63,,,,,,,2.75,,5.43,,,,,,,,,,,,,,5.95,2.77,,,,
38,2022-07-19,1.59,5.63,5.95,,,5.6,5.78,7.0,1.47,,,5.74,5.03,4.53,1.51,2.1,6.12,6.12,5.43,6.47,,1.26,6.82,,4.45,2.68,6.3,6.3,4.56,2.87,2.78,5.1,6.47,3.56,2.06,,1.01,,2.12,7.0,3.69,,6.01,1.05,5.43,1.54,2.53,3.7,4.7,3.21,1.15,6.12,2.66,7.0,1.38,6.47,1.39,2.77,3.65,7.0,1.1,5.95,6.47,,6.12,3.84,,2.47,4.44,3.96,,3.86,5.58,1.25,3.15,,3.18,,6.3,,2.82,2.44,4.35,0.87,5.95,4.73,2.4,2.73,6.12,4.28,2.37,,2.14,,,3.79,3.15,4.16,2.12
39,2022-07-22,,,,7.0,3.83,,,,,7.0,6.3,,,,,,,,,,6.47,,,,,,,,,,,,,,,4.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,,,,,,,3.83,,6.82,,,,,,,,,,,,,,6.65,4.98,,,,
40,2022-07-24,1.13,5.25,4.61,,,5.25,4.47,6.3,1.62,,,,5.25,5.07,2.22,1.18,3.0,5.78,3.85,6.12,,,,6.3,2.19,1.97,5.78,6.47,4.98,1.57,,,6.12,3.3,0.99,,,,1.55,7.0,5.07,3.27,5.67,0.9,0.35,1.36,2.48,3.8,6.01,2.6,,5.58,,,0.99,5.63,,3.11,,6.65,,,6.12,,,,3.17,1.79,4.3,5.6,,3.88,5.95,1.08,3.5,3.02,1.67,,5.78,,3.24,,4.98,0.85,5.6,,2.97,2.27,4.72,4.62,2.77,0.48,2.13,,,4.31,2.89,3.98,2.1
41,2022-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2022-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.12,,,,,,,1.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2022-08-03,0.9,5.13,3.11,,,,2.7,6.47,1.91,,,4.88,4.9,5.15,1.86,2.01,4.02,4.84,5.43,,,1.2,,4.7,3.19,2.34,5.3,,4.14,1.59,2.14,3.69,5.84,2.51,,,0.8,2.13,1.55,,4.27,3.53,4.53,0.93,3.99,1.2,2.27,3.71,6.65,3.48,1.47,5.74,,6.47,1.08,5.84,1.67,3.02,,,0.85,5.03,5.58,,5.07,3.19,2.66,1.81,3.84,4.62,,3.73,5.95,1.11,2.26,2.64,1.28,,5.79,,3.45,4.2,,0.78,4.92,3.41,1.57,1.97,4.13,3.65,2.89,0.59,2.34,,,2.12,2.5,3.27,2.39
44,2022-08-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,1.39,,,,,,2.45,,,,,,,,,,,,,,,,
45,2022-08-11,,,,6.01,2.81,,,,,6.3,4.42,,,,,,,,,,3.99,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76,,,,,,,2.89,,,,,,,3.05,,5.07,,,,,,,,,,,,,,5.78,1.12,,,,
46,2022-08-13,,,,,,,,6.12,,,,5.78,,,4.03,,2.28,,,,,,,4.8,2.3,0.65,4.55,,,,,,,,,,,,1.45,2.63,2.66,,4.47,,1.96,0.47,2.28,3.99,,1.32,0.87,,,,,1.91,,,,,,,4.9,,1.15,,4.2,1.25,,5.43,,1.94,,0.38,2.19,,,,2.4,,,,,0.9,,,2.09,,,,,0.48,1.91,,,,1.36,,
47,2022-08-16,,,,5.26,2.47,,,,,6.12,3.39,,,,,,,,,,2.03,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.94,,,,,,,1.84,,,,,,,3.28,,,,,,,,,,,,,,,,4.27,0.88,,,,
48,2022-08-18,,,0.49,,,2.75,,4.38,1.15,,,3.42,1.36,,1.38,1.53,2.4,3.18,,4.81,,,,3.67,1.94,,4.29,1.95,,,1.51,2.01,1.35,0.89,1.09,,0.33,,,3.84,1.34,,3.04,0.56,0.82,,,2.41,3.97,1.04,0.82,4.47,2.29,3.26,0.79,3.99,,,3.83,4.9,0.31,3.05,,,,3.97,1.96,1.08,,3.03,,1.33,3.43,0.47,1.1,1.1,1.01,,3.29,,,,1.44,0.9,0.9,1.58,0.86,,1.21,2.3,,,0.7,,,1.52,1.19,1.41,1.39
49,2022-08-21,,,,,,,,,,,,,,,,,,,,,2.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.93,,,,,
50,2022-08-26,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.87,,,,,,,,,,,,,,2.66,,3.43,,,,,,,,,,,,,,,0.53,,,,
51,2022-08-28,,,,,,1.72,,,,,,,,,,,,,,1.73,,,,,,,,1.88,,,,,,,,,,,,,,,,,,,,,,,,,1.65,,,,,,,2.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2022-09-02,,,0.97,,,1.75,0.73,2.44,1.1,,,2.34,,1.05,1.58,,2.24,3.62,2.01,3.28,,0.3,,2.2,,1.69,2.15,1.8,,,1.44,1.85,0.82,1.17,1.24,,0.62,0.19,1.28,4.29,,1.39,,0.49,0.85,0.7,0.49,,5.6,,0.52,,1.38,,1.63,2.44,1.33,0.72,3.33,3.42,0.61,2.4,1.99,,,2.37,1.83,,2.7,,,,3.06,,1.02,0.91,,,,2.37,0.22,,,0.91,0.91,1.14,,0.0,1.24,,0.45,0.25,0.92,,,0.72,,,1.37
53,2022-09-05,,,,2.32,0.48,,,,,3.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.04,,,,,,,1.46,,,,,,,1.42,,,,,,,,,,,,,,,,1.86,,,,,
54,2022-09-07,0.62,1.15,0.97,,,1.83,0.54,2.02,1.0,,,1.76,1.22,1.97,1.57,1.26,2.19,3.43,,2.84,,0.69,1.58,1.87,1.25,0.52,,1.87,2.13,1.17,1.19,1.42,1.94,1.21,1.24,,0.67,1.24,1.22,3.99,1.08,1.03,1.76,0.52,0.84,0.54,0.35,2.23,5.6,0.99,0.79,3.11,1.19,1.87,0.93,2.06,1.57,,2.98,2.4,0.47,1.8,1.57,,0.85,2.01,1.92,1.26,2.11,1.87,,1.52,2.87,0.79,1.05,1.1,1.54,,2.32,,1.52,1.72,1.72,0.79,0.91,0.9,0.9,1.1,1.24,0.92,1.95,0.48,0.07,,,1.44,1.28,0.88,1.42
55,2022-09-12,,,,,,,0.23,,,,,,,0.66,,,,4.38,2.4,2.41,,,1.71,,,,,1.44,1.99,,,1.17,,,,,,,0.88,,,1.24,1.45,,,,,,5.43,,,,0.9,1.9,,,0.8,1.81,3.02,,,,,,,,,0.66,,1.99,,,,0.97,,,1.49,,,,,,2.2,,,1.55,,,0.5,,,0.34,0.16,,,,,0.74,
56,2022-09-22,0.07,1.31,,,,,,,,,,,,1.81,,1.05,,,,,,0.37,1.01,,,,,,,,,,,0.0,0.02,,1.31,,0.93,,0.68,,,0.77,,0.14,0.4,,,0.63,0.57,1.52,,1.39,,0.66,1.31,,,,0.72,1.9,,,,,,,0.5,,,,,,,0.97,,,,,1.22,,,,0.3,,,0.41,,0.62,,0.53,,,,1.47,,0.72,1.32
